기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,9.7798932E7,1.2
고양시 덕양구,2.84279074E8,3.6
고양시 일산동구,2.34892088E8,3.0
고양시 일산서구,1.7876926E8,2.2
과천시,3.6688171E7,0.5
광명시,1.48322679E8,1.9
광주시,1.59043984E8,2.0
구리시,9.4316257E7,1.2
군포시,8.641096E7,1.1
김포시,2.93291663E8,3.7
남양주시,2.94335507E8,3.7
동두천시,2.6095773E7,0.3
부천시,2.35151389E8,3.0
성남시 분당구,5.55574413E8,7.0
성남시 수정구,1.26133593E8,1.6
성남시 중원구,6.9614282E7,0.9
수원시 권선구,1.83809396E8,2.3
수원시 영통구,2.72481383E8,3.4
수원시 장안구,7.8204753E7,1.0
수원시 팔달구,3.34262102E8,4.2
시흥시,2.66521086E8,3.3
안산시 단원구,2.42051556E8,3.0
안산시 상록구,1.06888144E8,1.3
안성시,1.61730137E8,2.0
안양시 동안구,2.74197843E8,3.4
안양시 만안구,7.9866131E7,1.0
양주시,9.9021476E7,1.2
양평군,7.8505087E7,1.0
여주시,2.90305707E8,3.6
연천군,1.8892606E7,0.2
오산시,1.05786261E8,1.3
용인시 기흥구,2.7950083E8,3.5
용인시 수지구,1.93068789E8,2.4
용인시 처인구,2.02311312E8,2.5
의왕시,9.93261E7,1.2
의정부시,1.64093772E8,2.1
이천시,2.09182019E8,2.6
파주시,3.07325988E8,3.9
평택시,1.95607856E8,2.5
포천시,1.49204505E8,1.9
하남시,3.15753836E8,4.0
화성시,3.31197092E8,4.2
