광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,1.2651878804E10,1.2815890953E10,-1.3
부산광역시,3.231025903E9,3.34401763E9,-3.4
대구광역시,1.77131496E9,1.811689196E9,-2.2
인천광역시,2.163958916E9,2.277657721E9,-5.0
광주광역시,9.87219413E8,9.90044775E8,-0.3
대전광역시,1.34296652E9,1.372071467E9,-2.1
울산광역시,5.89507791E8,6.15420466E8,-4.2
세종특별자치시,9.6428595E7,9.2641757E7,4.1
경기도,9.027829686E9,8.890262647E9,1.5
강원도,1.217194404E9,1.205190494E9,1.0
충청북도,1.008055447E9,1.012212897E9,-0.4
충청남도,1.155410112E9,1.171551782E9,-1.4
전라북도,8.69080009E8,8.85970579E8,-1.9
전라남도,8.64242394E8,8.24148572E8,4.9
경상북도,1.226572977E9,1.25097592E9,-2.0
경상남도,1.543458928E9,1.584694921E9,-2.6
제주특별자치도,9.45481016E8,9.31591453E8,1.5
