기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강화군,5.2607171E7,3.5
계양구,9.7080726E7,6.5
남동구,2.26768279E8,15.2
동구,5.5686297E7,3.7
미추홀구,2.02906943E8,13.6
부평구,1.86324499E8,12.5
서구,1.66605408E8,11.1
연수구,2.41519735E8,16.1
옹진군,1.3589578E7,0.9
중구,2.52873114E8,16.9
