대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.66788632E8,21.0,1263615.0,0.8
쇼핑업,대형쇼핑몰,1.66788632E8,21.0,9.6892504E7,58.1
쇼핑업,레저용품쇼핑,1.66788632E8,21.0,6.8632513E7,41.1
쇼핑업,면세점,1.66788632E8,21.0,0.0,0.0
숙박업,기타숙박,5.4838838E7,6.9,4.2081068E7,76.7
숙박업,캠핑장/펜션,5.4838838E7,6.9,610930.0,1.1
숙박업,콘도,5.4838838E7,6.9,8183233.0,14.9
숙박업,호텔,5.4838838E7,6.9,3963605.0,7.2
식음료업,식음료,4.46700269E8,56.1,4.46700269E8,100.0
여가서비스업,골프장,1.25696951E8,15.8,1.0136204E8,80.6
여가서비스업,관광유원시설,1.25696951E8,15.8,1.3218186E7,10.5
여가서비스업,기타레저,1.25696951E8,15.8,5307468.0,4.2
여가서비스업,문화서비스,1.25696951E8,15.8,5809258.0,4.6
여행업,여행업,435058.0,0.1,435058.0,100.0
운송업,렌터카,1614305.0,0.2,567965.0,35.2
운송업,수상운송,1614305.0,0.2,730463.0,45.2
운송업,육상운송,1614305.0,0.2,189740.0,11.8
운송업,항공운송,1614305.0,0.2,126137.0,7.8
