기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.300058959E9,14.9
강동구,1.79505118E8,2.1
강북구,1.15083277E8,1.3
강서구,4.42088484E8,5.1
관악구,1.89217665E8,2.2
광진구,2.1817473E8,2.5
구로구,2.25738352E8,2.6
금천구,2.47090648E8,2.8
노원구,2.16379343E8,2.5
도봉구,9.3711023E7,1.1
동대문구,1.64147064E8,1.9
동작구,1.47911259E8,1.7
마포구,4.37149939E8,5.0
서대문구,1.79623962E8,2.1
서초구,8.76907151E8,10.0
성동구,2.65659885E8,3.0
성북구,1.36264668E8,1.6
송파구,5.86152079E8,6.7
양천구,1.66739494E8,1.9
영등포구,5.52907768E8,6.3
용산구,3.2094482E8,3.7
은평구,1.43297543E8,1.6
종로구,3.90323063E8,4.5
중구,1.049647724E9,12.0
중랑구,1.08127168E8,1.2
