기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,8.826395E7,1.0
고양시 덕양구,3.04116806E8,3.4
고양시 일산동구,3.28024141E8,3.7
고양시 일산서구,2.29452605E8,2.6
과천시,4.1690817E7,0.5
광명시,1.89599307E8,2.1
광주시,1.68203123E8,1.9
구리시,1.52477284E8,1.7
군포시,1.19524339E8,1.3
김포시,2.80508488E8,3.2
남양주시,2.39389904E8,2.7
동두천시,3.6623825E7,0.4
부천시,2.76585845E8,3.1
성남시 분당구,6.32399307E8,7.1
성남시 수정구,1.612366E8,1.8
성남시 중원구,1.1384507E8,1.3
수원시 권선구,2.36552949E8,2.7
수원시 영통구,2.56014696E8,2.9
수원시 장안구,1.2572377E8,1.4
수원시 팔달구,5.08308576E8,5.7
시흥시,2.88661689E8,3.2
안산시 단원구,3.2353268E8,3.6
안산시 상록구,1.59562917E8,1.8
안성시,1.28600418E8,1.4
안양시 동안구,3.30242082E8,3.7
안양시 만안구,1.23881215E8,1.4
양주시,9.315282E7,1.0
양평군,7.559601E7,0.9
여주시,2.41749336E8,2.7
연천군,1.9017043E7,0.2
오산시,1.27376101E8,1.4
용인시 기흥구,2.64174006E8,3.0
용인시 수지구,2.13745343E8,2.4
용인시 처인구,2.19956589E8,2.5
의왕시,7.8795938E7,0.9
의정부시,2.29042282E8,2.6
이천시,2.32923196E8,2.6
파주시,3.03926074E8,3.4
평택시,2.28457678E8,2.6
포천시,1.29458698E8,1.5
하남시,2.2250703E8,2.5
화성시,3.67362097E8,4.1
