기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.371081922E9,14.7
강동구,1.96496706E8,2.1
강북구,1.34721585E8,1.4
강서구,4.88834357E8,5.3
관악구,2.22267005E8,2.4
광진구,2.49465671E8,2.7
구로구,2.47451689E8,2.7
금천구,2.62692384E8,2.8
노원구,2.28796181E8,2.5
도봉구,1.07732919E8,1.2
동대문구,1.81170796E8,1.9
동작구,1.69321863E8,1.8
마포구,4.88724249E8,5.3
서대문구,2.04493592E8,2.2
서초구,9.1684433E8,9.9
성동구,2.7116835E8,2.9
성북구,1.4836178E8,1.6
송파구,5.97231684E8,6.4
양천구,1.77960757E8,1.9
영등포구,5.26577178E8,5.7
용산구,3.39042792E8,3.6
은평구,1.58509415E8,1.7
종로구,4.39341385E8,4.7
중구,1.047084143E9,11.3
중랑구,1.20310286E8,1.3
