기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,9.1808702E7,1.2
고양시 덕양구,2.72956854E8,3.6
고양시 일산동구,2.30252566E8,3.0
고양시 일산서구,1.7521227E8,2.3
과천시,3.2847969E7,0.4
광명시,1.30836235E8,1.7
광주시,1.55243129E8,2.0
구리시,9.8916533E7,1.3
군포시,8.6267743E7,1.1
김포시,2.83575474E8,3.7
남양주시,2.68611196E8,3.5
동두천시,2.5613222E7,0.3
부천시,2.30052E8,3.0
성남시 분당구,5.48048986E8,7.1
성남시 수정구,1.23208164E8,1.6
성남시 중원구,7.1200004E7,0.9
수원시 권선구,1.77175732E8,2.3
수원시 영통구,2.57661338E8,3.4
수원시 장안구,7.8630673E7,1.0
수원시 팔달구,3.30933601E8,4.3
시흥시,2.58370593E8,3.4
안산시 단원구,2.42277259E8,3.2
안산시 상록구,1.08723939E8,1.4
안성시,1.54834178E8,2.0
안양시 동안구,2.65529859E8,3.5
안양시 만안구,7.9741351E7,1.0
양주시,9.3015997E7,1.2
양평군,7.4536333E7,1.0
여주시,2.81490385E8,3.7
연천군,1.7908623E7,0.2
오산시,9.4187047E7,1.2
용인시 기흥구,2.776254E8,3.6
용인시 수지구,1.87088533E8,2.4
용인시 처인구,1.8901992E8,2.5
의왕시,7.5228335E7,1.0
의정부시,1.6071466E8,2.1
이천시,2.02696067E8,2.6
파주시,2.92346563E8,3.8
평택시,1.90717241E8,2.5
포천시,1.40319026E8,1.8
하남시,3.00062243E8,3.9
화성시,3.16711438E8,4.1
