광역지자체 명,기초지자체 명,광역지자체 지출액,광역지자체 지출액 비율,기초지자체 지출액,기초지자체 지출액 비율
강원도,강릉시,1.069252276E9,3.4,1.8194899958E11,17.0
강원도,고성군,1.069252276E9,3.4,4.3717107707E10,4.1
강원도,동해시,1.069252276E9,3.4,3.7116956025E10,3.5
강원도,삼척시,1.069252276E9,3.4,4.9344802159E10,4.6
강원도,속초시,1.069252276E9,3.4,1.44942846325E11,13.6
강원도,양구군,1.069252276E9,3.4,5.299440166E9,0.5
강원도,양양군,1.069252276E9,3.4,4.8891456176E10,4.6
강원도,영월군,1.069252276E9,3.4,1.2641033979E10,1.2
강원도,원주시,1.069252276E9,3.4,1.3029353236E11,12.2
강원도,인제군,1.069252276E9,3.4,1.7737378682E10,1.7
강원도,정선군,1.069252276E9,3.4,2.0855227148E10,2.0
강원도,철원군,1.069252276E9,3.4,1.4325745217E10,1.3
강원도,춘천시,1.069252276E9,3.4,1.54777613614E11,14.5
강원도,태백시,1.069252276E9,3.4,1.9971748488E10,1.9
강원도,평창군,1.069252276E9,3.4,6.646061558E10,6.2
강원도,홍천군,1.069252276E9,3.4,7.7329250671E10,7.2
강원도,화천군,1.069252276E9,3.4,7.012579849E9,0.7
강원도,횡성군,1.069252276E9,3.4,3.6585942677E10,3.4
경기도,가평군,7.672197381E9,24.2,9.1808701848E10,1.2
경기도,고양시 덕양구,7.672197381E9,24.2,2.72956853963E11,3.6
경기도,고양시 일산동구,7.672197381E9,24.2,2.3025256614E11,3.0
경기도,고양시 일산서구,7.672197381E9,24.2,1.75212270024E11,2.3
경기도,과천시,7.672197381E9,24.2,3.2847968788E10,0.4
경기도,광명시,7.672197381E9,24.2,1.30836234632E11,1.7
경기도,광주시,7.672197381E9,24.2,1.55243129083E11,2.0
경기도,구리시,7.672197381E9,24.2,9.8916532719E10,1.3
경기도,군포시,7.672197381E9,24.2,8.6267743289E10,1.1
경기도,김포시,7.672197381E9,24.2,2.83575474236E11,3.7
경기도,남양주시,7.672197381E9,24.2,2.68611195751E11,3.5
경기도,동두천시,7.672197381E9,24.2,2.5613222364E10,0.3
경기도,부천시,7.672197381E9,24.2,2.30051999772E11,3.0
경기도,성남시 분당구,7.672197381E9,24.2,5.48048986463E11,7.1
경기도,성남시 수정구,7.672197381E9,24.2,1.23208164359E11,1.6
경기도,성남시 중원구,7.672197381E9,24.2,7.1200004444E10,0.9
경기도,수원시 권선구,7.672197381E9,24.2,1.77175731791E11,2.3
경기도,수원시 영통구,7.672197381E9,24.2,2.57661338077E11,3.4
경기도,수원시 장안구,7.672197381E9,24.2,7.8630672741E10,1.0
경기도,수원시 팔달구,7.672197381E9,24.2,3.30933601278E11,4.3
경기도,시흥시,7.672197381E9,24.2,2.58370593208E11,3.4
경기도,안산시 단원구,7.672197381E9,24.2,2.42277259361E11,3.2
경기도,안산시 상록구,7.672197381E9,24.2,1.08723938825E11,1.4
경기도,안성시,7.672197381E9,24.2,1.54834178059E11,2.0
경기도,안양시 동안구,7.672197381E9,24.2,2.65529859083E11,3.5
경기도,안양시 만안구,7.672197381E9,24.2,7.9741351367E10,1.0
