광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,9.14503739E9,9.295683021E9,-1.6
부산광역시,2.422827075E9,2.503393205E9,-3.2
대구광역시,1.438978084E9,1.377417514E9,4.5
인천광역시,1.375793104E9,1.49596175E9,-8.0
광주광역시,8.24908965E8,8.08400637E8,2.0
대전광역시,9.77050809E8,9.63188543E8,1.4
울산광역시,4.63125394E8,4.88142066E8,-5.1
세종특별자치시,9.0712475E7,8.8046497E7,3.0
경기도,7.959813795E9,7.86404469E9,1.2
강원도,1.119167991E9,1.087017848E9,3.0
충청북도,9.04946623E8,8.84887129E8,2.3
충청남도,1.002044414E9,9.7565501E8,2.7
전라북도,7.40541527E8,7.21675988E8,2.6
전라남도,8.2337941E8,7.98699949E8,3.1
경상북도,1.117055123E9,1.0310037E9,8.3
경상남도,1.316438075E9,1.339948616E9,-1.8
제주특별자치도,1.035512158E9,8.1158415E8,27.6
