기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,5.772003E7,9.8
경주시,1.16050218E8,19.7
고령군,7753422.0,1.3
구미시,6.1815886E7,10.5
군위군,9983838.0,1.7
김천시,2.2182595E7,3.8
문경시,1.4052503E7,2.4
봉화군,2224563.0,0.4
상주시,1.4586012E7,2.5
성주군,5302614.0,0.9
안동시,3.1393304E7,5.3
영덕군,1.423758E7,2.4
영양군,699350.0,0.1
영주시,1.4097965E7,2.4
영천시,1.8698171E7,3.2
예천군,6942387.0,1.2
울릉군,4861015.0,0.8
울진군,1.0784472E7,1.8
의성군,8562975.0,1.5
청도군,1.7442092E7,3.0
청송군,4581648.0,0.8
칠곡군,3.0280519E7,5.1
포항시 남구,4.9217327E7,8.3
포항시 북구,6.6984729E7,11.3
