기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.582288981E9,14.4
강동구,2.20805399E8,2.0
강북구,1.54791191E8,1.4
강서구,6.65902775E8,6.1
관악구,2.60140716E8,2.4
광진구,3.01739521E8,2.8
구로구,2.8094209E8,2.6
금천구,3.03501562E8,2.8
노원구,2.56554581E8,2.3
도봉구,1.16198843E8,1.1
동대문구,2.11041793E8,1.9
동작구,2.03004872E8,1.9
마포구,5.77302967E8,5.3
서대문구,2.52567692E8,2.3
서초구,1.068060706E9,9.7
성동구,2.90512446E8,2.7
성북구,1.71019795E8,1.6
송파구,6.90119304E8,6.3
양천구,1.93225075E8,1.8
영등포구,5.91694608E8,5.4
용산구,4.30282234E8,3.9
은평구,1.79808384E8,1.6
종로구,5.73046185E8,5.2
중구,1.249025994E9,11.4
중랑구,1.34942313E8,1.2
