대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.491885184E9,27.6,1.6296691E7,0.5
쇼핑업,대형쇼핑몰,3.491885184E9,27.6,2.839188798E9,81.3
쇼핑업,레저용품쇼핑,3.491885184E9,27.6,5.27171122E8,15.1
쇼핑업,면세점,3.491885184E9,27.6,1.09228573E8,3.1
숙박업,기타숙박,4.31975564E8,3.4,1.52173736E8,35.2
숙박업,캠핑장/펜션,4.31975564E8,3.4,13158.0,0.0
숙박업,콘도,4.31975564E8,3.4,1411994.0,0.3
숙박업,호텔,4.31975564E8,3.4,2.78376675E8,64.4
식음료업,식음료,7.067661195E9,55.9,7.067661195E9,100.0
여가서비스업,골프장,5.38903007E8,4.3,7.8269324E7,14.5
여가서비스업,관광유원시설,5.38903007E8,4.3,3.7425374E7,6.9
여가서비스업,기타레저,5.38903007E8,4.3,1.63404526E8,30.3
여가서비스업,문화서비스,5.38903007E8,4.3,2.56310861E8,47.6
여가서비스업,스키장,5.38903007E8,4.3,3492922.0,0.6
여행업,여행업,1.71444828E8,1.4,1.71444828E8,100.0
운송업,렌터카,9.50009026E8,7.5,1.6041013E7,1.7
운송업,수상운송,9.50009026E8,7.5,4.0967245E7,4.3
운송업,육상운송,9.50009026E8,7.5,3.66824957E8,38.6
운송업,항공운송,9.50009026E8,7.5,5.26175812E8,55.4
