기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.768023014E9,14.0
강동구,2.40757075E8,1.9
강북구,1.68543779E8,1.3
강서구,8.71252092E8,6.9
관악구,2.95789655E8,2.3
광진구,3.46529657E8,2.7
구로구,3.94789727E8,3.1
금천구,3.48780008E8,2.8
노원구,2.87193444E8,2.3
도봉구,1.21475461E8,1.0
동대문구,2.4214615E8,1.9
동작구,2.29443695E8,1.8
마포구,6.48592608E8,5.1
서대문구,2.96176157E8,2.3
서초구,1.209412483E9,9.6
성동구,3.04930908E8,2.4
성북구,1.90504777E8,1.5
송파구,7.91320284E8,6.3
양천구,2.06929692E8,1.6
영등포구,6.48923373E8,5.1
용산구,5.26007839E8,4.2
은평구,2.00014734E8,1.6
종로구,7.02865687E8,5.6
중구,1.462755375E9,11.6
중랑구,1.48721131E8,1.2
