광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,1.2802124906E10,7.381717946E9,73.4
부산광역시,3.305717647E9,1.918482171E9,72.3
대구광역시,1.799284141E9,1.038242086E9,73.3
인천광역시,2.252153346E9,1.30402809E9,72.7
광주광역시,9.9481392E8,5.63844987E8,76.4
대전광역시,1.360814367E9,7.90097261E8,72.2
울산광역시,5.98864557E8,3.59169936E8,66.7
세종특별자치시,9.470438E7,5.2904313E7,79.0
경기도,8.992281127E9,5.062333237E9,77.6
강원도,1.212168877E9,6.69826005E8,81.0
충청북도,1.010432147E9,5.76403574E8,75.3
충청남도,1.167146537E9,6.67724791E8,74.8
전라북도,8.82163465E8,5.02560107E8,75.5
전라남도,8.48325702E8,4.59779977E8,84.5
경상북도,1.244202292E9,7.08822016E8,75.5
경상남도,1.569873884E9,9.0688637E8,73.1
제주특별자치도,9.29930893E8,5.38787798E8,72.6
