기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.368649067E9,15.0
강동구,1.80748155E8,2.0
강북구,1.15649074E8,1.3
강서구,4.70513833E8,5.1
관악구,1.87719686E8,2.1
광진구,2.21228931E8,2.4
구로구,2.19327964E8,2.4
금천구,2.47504919E8,2.7
노원구,2.17385329E8,2.4
도봉구,9.0331728E7,1.0
동대문구,1.63278699E8,1.8
동작구,1.50414365E8,1.6
마포구,4.52372519E8,4.9
서대문구,1.80258949E8,2.0
서초구,9.16034761E8,10.0
성동구,2.76215335E8,3.0
성북구,1.37724537E8,1.5
송파구,6.20038595E8,6.8
양천구,1.68885714E8,1.8
영등포구,6.1086618E8,6.7
용산구,3.48609655E8,3.8
은평구,1.41970687E8,1.6
종로구,4.19306715E8,4.6
중구,1.132684587E9,12.4
중랑구,1.07317407E8,1.2
