기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.16013889E8,10.6
경주시,1.86089286E8,17.1
고령군,1.0692186E7,1.0
구미시,1.26041283E8,11.6
군위군,1.6284735E7,1.5
김천시,4.4338386E7,4.1
문경시,2.9559054E7,2.7
봉화군,4573319.0,0.4
상주시,2.5726954E7,2.4
성주군,9738654.0,0.9
안동시,6.0086013E7,5.5
영덕군,2.5614963E7,2.4
영양군,1289430.0,0.1
영주시,3.0500157E7,2.8
영천시,3.3100124E7,3.0
예천군,1.2628715E7,1.2
울릉군,4359984.0,0.4
울진군,2.1217342E7,1.9
의성군,1.371204E7,1.3
청도군,2.4342197E7,2.2
청송군,8642174.0,0.8
칠곡군,5.5971964E7,5.1
포항시 남구,1.01902215E8,9.4
포항시 북구,1.26988324E8,11.7
