광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,1.0719026616E10,8.752851188E9,22.5
부산광역시,2.734469184E9,2.381804238E9,14.8
대구광역시,1.602439023E9,1.435743317E9,11.6
인천광역시,1.549065493E9,1.353732883E9,14.4
광주광역시,8.97021788E8,7.94728485E8,12.9
대전광역시,1.245251843E9,9.32504889E8,33.5
울산광역시,5.12323214E8,4.57598804E8,12.0
세종특별자치시,9.6392325E7,8.8212249E7,9.3
경기도,8.837407868E9,7.672197381E9,15.2
강원도,1.275351752E9,1.069252276E9,19.3
충청북도,9.72708061E8,8.73886344E8,11.3
충청남도,1.096705883E9,9.69084625E8,13.2
전라북도,7.9275651E8,7.17065137E8,10.6
전라남도,8.95672981E8,7.96074052E8,12.5
경상북도,1.211468028E9,1.080930125E9,12.1
경상남도,1.443282047E9,1.302216776E9,10.8
제주특별자치도,1.20316058E9,9.66555954E8,24.5
