광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,5.624785677E9,4.439962933E9,26.7
부산광역시,1.40466742E9,1.170034525E9,20.1
대구광역시,8.22087652E8,6.96688833E8,18.0
인천광역시,7.80811224E8,6.60844734E8,18.2
광주광역시,4.56880349E8,3.97425208E8,15.0
대전광역시,6.71440904E8,4.6490079E8,44.4
울산광역시,2.5572893E8,2.16004017E8,18.4
세종특별자치시,4.8138574E7,4.3352549E7,11.0
경기도,4.466345177E9,3.808165801E9,17.3
강원도,6.08025359E8,4.85418934E8,25.3
충청북도,4.73619669E8,4.2026583E8,12.7
충청남도,5.4648262E8,4.70162976E8,16.2
전라북도,3.92817119E8,3.51318543E8,11.8
전라남도,4.34824128E8,3.80741981E8,14.2
경상북도,5.90455216E8,5.13445348E8,15.0
경상남도,7.21626532E8,6.22851056E8,15.9
제주특별자치도,6.22297797E8,4.78769385E8,30.0
