기준년월,광역지자체,대분류,지출액,전년도 지출액
202201,전국,총소비,2.822332345E9,2.021427049E9
202201,전국,콘도,2.2675628E7,7645316.0
202201,전국,호텔,4.7441988E7,2.3671237E7
202201,전국,캠핑장/펜션,662410.0,391943.0
202201,전국,기타숙박,5.6817997E7,4.3546352E7
202201,전국,여행업,2524298.0,1533105.0
202201,전국,육상운송,6.7163125E7,3.3315386E7
202201,전국,수상운송,5270558.0,2220446.0
202201,전국,항공운송,2.8000006E7,9049050.0
202201,전국,렌터카,8608740.0,5197440.0
202201,전국,면세점,2.3668596E7,1.1750372E7
202201,전국,관광기념품,6515562.0,3021363.0
202201,전국,레저용품쇼핑,1.49354629E8,1.13318567E8
202201,전국,대형쇼핑몰,9.0055491E8,6.77539358E8
202201,전국,관광유원시설,9319906.0,3618587.0
202201,전국,골프장,8.9535428E7,5.591506E7
202201,전국,스키장,4678036.0,1324978.0
202201,전국,기타레저,1.8831474E7,1.085474E7
202201,전국,문화서비스,2.2670833E7,1.1177907E7
202201,전국,식음료,1.358038222E9,1.006335841E9
202202,전국,총소비,2.405847705E9,2.288973416E9
202202,전국,호텔,4.3580651E7,3.15605E7
202202,전국,콘도,1.9399164E7,1.084219E7
202202,전국,캠핑장/펜션,609088.0,534459.0
202202,전국,기타숙박,5.2061308E7,4.5306708E7
202202,전국,여행업,2307754.0,1526986.0
202202,전국,육상운송,5.5753668E7,3.4992213E7
202202,전국,수상운송,4507822.0,2821034.0
202202,전국,항공운송,2.6038119E7,1.1872296E7
202202,전국,렌터카,8550272.0,6191426.0
202202,전국,면세점,2.0844087E7,1.6137485E7
202202,전국,관광기념품,5891369.0,4144027.0
202202,전국,레저용품쇼핑,1.30147595E8,1.3127988E8
202202,전국,대형쇼핑몰,7.38211207E8,7.10253387E8
202202,전국,관광유원시설,7788685.0,6244738.0
202202,전국,골프장,1.06023107E8,9.8796913E7
202202,전국,스키장,3155243.0,1501802.0
202202,전국,기타레저,1.6139256E7,1.5356976E7
202202,전국,문화서비스,1.832471E7,1.6093465E7
202202,전국,식음료,1.146514601E9,1.143516931E9
202203,전국,총소비,2.831407041E9,2.724468418E9
202203,전국,콘도,9806115.0,9116124.0
202203,전국,호텔,3.8034209E7,3.1918111E7
202203,전국,캠핑장/펜션,459718.0,442883.0
202203,전국,기타숙박,5.5222223E7,5.0984894E7
202203,전국,여행업,3029723.0,2122582.0
202203,전국,육상운송,5.9714985E7,4.3308286E7
202203,전국,수상운송,5684640.0,3664434.0
202203,전국,항공운송,3.6020627E7,1.5486095E7
202203,전국,렌터카,8484887.0,7095342.0
202203,전국,면세점,2.2117548E7,2.0790795E7
202203,전국,관광기념품,5663495.0,4752378.0
202203,전국,레저용품쇼핑,1.68791498E8,1.77502521E8
202203,전국,대형쇼핑몰,8.41946146E8,7.63299603E8
202203,전국,관광유원시설,7171178.0,6380121.0
202203,전국,골프장,1.76960044E8,1.60423809E8
202203,전국,스키장,143079.0,75343.0
202203,전국,기타레저,1.7858865E7,1.831023E7
202203,전국,문화서비스,1.7775495E7,1.7187652E7
202203,전국,식음료,1.356522566E9,1.391607215E9
202204,전국,총소비,3.421735857E9,2.764331827E9
202204,전국,호텔,4.7070611E7,3.3794343E7
202204,전국,콘도,1.5576461E7,1.2557597E7
202204,전국,캠핑장/펜션,832866.0,612292.0
202204,전국,기타숙박,6.2984067E7,5.3467236E7
202204,전국,여행업,3861798.0,2140157.0
202204,전국,육상운송,7.5026187E7,4.4537162E7
202204,전국,수상운송,8598751.0,4840989.0
202204,전국,항공운송,4.9837321E7,1.5675284E7
202204,전국,렌터카,9564675.0,8604808.0
202204,전국,면세점,3.0219706E7,2.4358704E7
202204,전국,관광기념품,8044191.0,5817976.0
202204,전국,레저용품쇼핑,2.15731369E8,1.85916282E8
202204,전국,대형쇼핑몰,9.03539411E8,7.31429575E8
202204,전국,관광유원시설,1.3056374E7,8361252.0
202204,전국,골프장,2.19908665E8,1.8683886E8
202204,전국,스키장,374099.0,202997.0
202204,전국,기타레저,2.2420166E7,1.7279238E7
202204,전국,문화서비스,2.8814581E7,2.032566E7
202204,전국,식음료,1.706274557E9,1.407571418E9
202205,전국,총소비,3.817890803E9,3.00977536E9
202205,전국,호텔,5.5846046E7,4.2777567E7
202205,전국,콘도,2.1530706E7,1.6241722E7
202205,전국,캠핑장/펜션,1072713.0,834425.0
202205,전국,기타숙박,6.6367649E7,5.7978802E7
202205,전국,여행업,4781793.0,1968998.0
202205,전국,육상운송,9.0398483E7,4.7508692E7
202205,전국,수상운송,1.1297777E7,5301673.0
202205,전국,항공운송,5.2700165E7,1.6090944E7
202205,전국,렌터카,1.0181065E7,8821371.0
202205,전국,면세점,3.2285848E7,2.2920313E7
202205,전국,관광기념품,9158226.0,6575362.0
202205,전국,레저용품쇼핑,2.22952865E8,1.94769326E8
202205,전국,대형쇼핑몰,9.45994896E8,8.12469034E8
202205,전국,관광유원시설,1.6181188E7,1.0101698E7
202205,전국,골프장,2.44725631E8,1.99572977E8
202205,전국,스키장,592086.0,385743.0
202205,전국,기타레저,2.684609E7,2.0963411E7
202205,전국,문화서비스,5.5227223E7,2.4971337E7
202205,전국,식음료,1.949750353E9,1.519521967E9
202206,전국,총소비,3.621820599E9,2.811377374E9
202206,전국,호텔,5.3934706E7,3.8700673E7
202206,전국,콘도,2.393626E7,1.6111326E7
202206,전국,캠핑장/펜션,1124259.0,807162.0
202206,전국,기타숙박,6.6849036E7,5.5776251E7
202206,전국,여행업,4577447.0,2011388.0
202206,전국,육상운송,8.3998483E7,4.5958872E7
202206,전국,수상운송,1.1755425E7,5203718.0
202206,전국,항공운송,5.4056397E7,1.7803309E7
202206,전국,렌터카,1.0012067E7,8498883.0
202206,전국,면세점,3.3382666E7,2.0419975E7
202206,전국,관광기념품,8547021.0,5989389.0
202206,전국,레저용품쇼핑,1.84813458E8,1.70815473E8
202206,전국,대형쇼핑몰,9.23824343E8,7.12284358E8
202206,전국,관광유원시설,1.340421E7,8636308.0
202206,전국,골프장,2.30634763E8,2.05285748E8
202206,전국,스키장,660919.0,380347.0
202206,전국,기타레저,2.6138037E7,1.9434195E7
202206,전국,문화서비스,5.6036868E7,2.3891733E7
202206,전국,식음료,1.834134233E9,1.453368266E9
