기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
거제시,8.2890129E7,6.3
거창군,1.478636E7,1.1
고성군,2.2764747E7,1.7
김해시,1.87816398E8,14.3
남해군,3.0583049E7,2.3
밀양시,3.6880525E7,2.8
사천시,5.6472354E7,4.3
산청군,1.1249284E7,0.9
양산시,1.46194035E8,11.1
의령군,6695314.0,0.5
진주시,9.081069E7,6.9
창녕군,2.8114221E7,2.1
창원시 마산합포구,9.7113718E7,7.4
창원시 마산회원구,6.3290538E7,4.8
창원시 성산구,1.45730656E8,11.1
창원시 의창구,9.2150603E7,7.0
창원시 진해구,7.1279731E7,5.4
통영시,6.8468969E7,5.2
하동군,1.4340393E7,1.1
함안군,2.3069744E7,1.8
함양군,9898084.0,0.8
합천군,1.5838534E7,1.2
