대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,1.59182108E8,14.9,2992328.0,1.9
쇼핑업,대형쇼핑몰,1.59182108E8,14.9,8.033027E7,50.5
쇼핑업,레저용품쇼핑,1.59182108E8,14.9,7.5795464E7,47.6
쇼핑업,면세점,1.59182108E8,14.9,64046.0,0.0
숙박업,기타숙박,1.48930752E8,13.9,5.376882E7,36.1
숙박업,캠핑장/펜션,1.48930752E8,13.9,1654414.0,1.1
숙박업,콘도,1.48930752E8,13.9,6.4970972E7,43.6
숙박업,호텔,1.48930752E8,13.9,2.8536547E7,19.2
식음료업,식음료,5.83753189E8,54.6,5.83753189E8,100.0
여가서비스업,골프장,1.74969106E8,16.4,1.54883807E8,88.5
여가서비스업,관광유원시설,1.74969106E8,16.4,4524920.0,2.6
여가서비스업,기타레저,1.74969106E8,16.4,4592364.0,2.6
여가서비스업,문화서비스,1.74969106E8,16.4,8782382.0,5.0
여가서비스업,스키장,1.74969106E8,16.4,2185634.0,1.2
여행업,여행업,1566082.0,0.1,1566082.0,100.0
운송업,렌터카,851039.0,0.1,426498.0,50.1
운송업,수상운송,851039.0,0.1,172102.0,20.2
운송업,육상운송,851039.0,0.1,238381.0,28.0
운송업,항공운송,851039.0,0.1,14058.0,1.7
