기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
계룡시,1.5750024E7,1.4
공주시,7.0540033E7,6.1
금산군,1.7452477E7,1.5
논산시,3.8286181E7,3.3
당진시,8.3243032E7,7.2
보령시,5.9902568E7,5.2
부여군,4.7074007E7,4.1
서산시,7.3367138E7,6.3
서천군,1.5565814E7,1.3
아산시,1.54552434E8,13.4
예산군,3.4671552E7,3.0
천안시 동남구,2.09919916E8,18.2
천안시 서북구,2.47206102E8,21.4
청양군,5271190.0,0.5
태안군,4.522273E7,3.9
홍성군,3.7384915E7,3.2
