기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강화군,5.2428812E7,3.9
계양구,8.4885498E7,6.3
남동구,1.98320111E8,14.6
동구,5.5061704E7,4.1
미추홀구,1.92209569E8,14.2
부평구,1.59418666E8,11.8
서구,1.51926667E8,11.2
연수구,2.41536434E8,17.8
옹진군,1.3584119E7,1.0
중구,2.04361301E8,15.1
