기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,5.1849422E7,1.2
고양시 덕양구,1.57580599E8,3.5
고양시 일산동구,1.31016942E8,2.9
고양시 일산서구,9.6006269E7,2.1
과천시,2.2542992E7,0.5
광명시,7.7150228E7,1.7
광주시,8.5220739E7,1.9
구리시,5.1228381E7,1.1
군포시,4.7963301E7,1.1
김포시,1.61903795E8,3.6
남양주시,1.63340163E8,3.7
동두천시,1.4475536E7,0.3
부천시,1.30336587E8,2.9
성남시 분당구,3.14748276E8,7.0
성남시 수정구,7.0825413E7,1.6
성남시 중원구,3.919848E7,0.9
수원시 권선구,9.9824759E7,2.2
수원시 영통구,1.67683978E8,3.8
수원시 장안구,4.4792789E7,1.0
수원시 팔달구,1.94153757E8,4.3
시흥시,1.43819602E8,3.2
안산시 단원구,1.37092101E8,3.1
안산시 상록구,5.5186782E7,1.2
안성시,8.8018153E7,2.0
안양시 동안구,1.6115567E8,3.6
안양시 만안구,4.4994082E7,1.0
양주시,5.4126902E7,1.2
양평군,4.0619807E7,0.9
여주시,1.49095396E8,3.3
연천군,9694529.0,0.2
오산시,6.4132273E7,1.4
용인시 기흥구,1.46211126E8,3.3
용인시 수지구,1.12438402E8,2.5
용인시 처인구,1.16233366E8,2.6
의왕시,7.2562968E7,1.6
의정부시,9.4177758E7,2.1
이천시,1.16874614E8,2.6
파주시,1.65400586E8,3.7
평택시,1.17067914E8,2.6
포천시,7.7994889E7,1.7
하남시,1.8531019E8,4.1
화성시,1.9229566E8,4.3
