기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.10169784E8,10.2
경주시,1.97488929E8,18.3
고령군,1.4051764E7,1.3
구미시,1.16698186E8,10.8
군위군,1.8113864E7,1.7
김천시,4.2214505E7,3.9
문경시,2.8587383E7,2.6
봉화군,4648079.0,0.4
상주시,2.5504701E7,2.4
성주군,9910521.0,0.9
안동시,5.70729E7,5.3
영덕군,2.7925412E7,2.6
영양군,1338485.0,0.1
영주시,2.7708716E7,2.6
영천시,3.5209338E7,3.3
예천군,1.2823779E7,1.2
울릉군,5774158.0,0.5
울진군,2.036294E7,1.9
의성군,1.5358689E7,1.4
청도군,2.9917926E7,2.8
청송군,8809400.0,0.8
칠곡군,5.6525221E7,5.2
포항시 남구,9.2067087E7,8.5
포항시 북구,1.22648358E8,11.3
