광역지자체 명,기초지자체 명,광역지자체 지출액,광역지자체 지출액 비율,기초지자체 지출액,기초지자체 지출액 비율
강원도,강릉시,1.205190494E9,2.9,1.90565501207E11,15.8
강원도,고성군,1.205190494E9,2.9,3.6200840226E10,3.0
강원도,동해시,1.205190494E9,2.9,4.7129092528E10,3.9
강원도,삼척시,1.205190494E9,2.9,5.5153171766E10,4.6
강원도,속초시,1.205190494E9,2.9,1.56518250845E11,13.0
강원도,양구군,1.205190494E9,2.9,8.468910036E9,0.7
강원도,양양군,1.205190494E9,2.9,3.9559800674E10,3.3
강원도,영월군,1.205190494E9,2.9,1.3015649386E10,1.1
강원도,원주시,1.205190494E9,2.9,1.72226306463E11,14.3
강원도,인제군,1.205190494E9,2.9,2.2888433243E10,1.9
강원도,정선군,1.205190494E9,2.9,3.8553110175E10,3.2
강원도,철원군,1.205190494E9,2.9,1.8729017912E10,1.6
강원도,춘천시,1.205190494E9,2.9,1.78837453329E11,14.8
강원도,태백시,1.205190494E9,2.9,2.230035682E10,1.9
강원도,평창군,1.205190494E9,2.9,6.4645696845E10,5.4
강원도,홍천군,1.205190494E9,2.9,9.5568791484E10,7.9
강원도,화천군,1.205190494E9,2.9,1.1889522122E10,1.0
강원도,횡성군,1.205190494E9,2.9,3.2940588514E10,2.7
경기도,가평군,8.890262647E9,21.6,8.8263950106E10,1.0
경기도,고양시 덕양구,8.890262647E9,21.6,3.04116806387E11,3.4
경기도,고양시 일산동구,8.890262647E9,21.6,3.28024140921E11,3.7
경기도,고양시 일산서구,8.890262647E9,21.6,2.29452604972E11,2.6
경기도,과천시,8.890262647E9,21.6,4.1690817363E10,0.5
경기도,광명시,8.890262647E9,21.6,1.8959930711E11,2.1
경기도,광주시,8.890262647E9,21.6,1.68203123353E11,1.9
경기도,구리시,8.890262647E9,21.6,1.52477283579E11,1.7
경기도,군포시,8.890262647E9,21.6,1.19524338841E11,1.3
경기도,김포시,8.890262647E9,21.6,2.80508488059E11,3.2
경기도,남양주시,8.890262647E9,21.6,2.39389903933E11,2.7
경기도,동두천시,8.890262647E9,21.6,3.6623824681E10,0.4
경기도,부천시,8.890262647E9,21.6,2.76585845369E11,3.1
경기도,성남시 분당구,8.890262647E9,21.6,6.32399307203E11,7.1
경기도,성남시 수정구,8.890262647E9,21.6,1.61236600211E11,1.8
경기도,성남시 중원구,8.890262647E9,21.6,1.13845069815E11,1.3
경기도,수원시 권선구,8.890262647E9,21.6,2.36552949378E11,2.7
경기도,수원시 영통구,8.890262647E9,21.6,2.5601469638E11,2.9
경기도,수원시 장안구,8.890262647E9,21.6,1.25723769523E11,1.4
경기도,수원시 팔달구,8.890262647E9,21.6,5.08308576417E11,5.7
경기도,시흥시,8.890262647E9,21.6,2.88661688907E11,3.2
경기도,안산시 단원구,8.890262647E9,21.6,3.2353267979E11,3.6
경기도,안산시 상록구,8.890262647E9,21.6,1.59562917036E11,1.8
경기도,안성시,8.890262647E9,21.6,1.28600417666E11,1.4
경기도,안양시 동안구,8.890262647E9,21.6,3.30242082141E11,3.7
경기도,안양시 만안구,8.890262647E9,21.6,1.23881214548E11,1.4
경기도,양주시,8.890262647E9,21.6,9.3152819974E10,1.0
경기도,양평군,8.890262647E9,21.6,7.5596009992E10,0.9
경기도,여주시,8.890262647E9,21.6,2.41749335586E11,2.7
경기도,연천군,8.890262647E9,21.6,1.901704323E10,0.2
경기도,오산시,8.890262647E9,21.6,1.27376101102E11,1.4
경기도,용인시 기흥구,8.890262647E9,21.6,2.64174006421E11,3.0
경기도,용인시 수지구,8.890262647E9,21.6,2.13745342971E11,2.4
경기도,용인시 처인구,8.890262647E9,21.6,2.19956589078E11,2.5
경기도,의왕시,8.890262647E9,21.6,7.8795938401E10,0.9
경기도,의정부시,8.890262647E9,21.6,2.29042282495E11,2.6
경기도,이천시,8.890262647E9,21.6,2.32923195749E11,2.6
경기도,파주시,8.890262647E9,21.6,3.03926074283E11,3.4
경기도,평택시,8.890262647E9,21.6,2.28457677671E11,2.6
경기도,포천시,8.890262647E9,21.6,1.29458698478E11,1.5
경기도,하남시,8.890262647E9,21.6,2.22507030487E11,2.5
경기도,화성시,8.890262647E9,21.6,3.67362097004E11,4.1
경상남도,거제시,1.584694921E9,3.9,9.5011042956E10,6.0
경상남도,거창군,1.584694921E9,3.9,1.2812550445E10,0.8
경상남도,고성군,1.584694921E9,3.9,1.9565502836E10,1.2
경상남도,김해시,1.584694921E9,3.9,2.27724752614E11,14.4
경상남도,남해군,1.584694921E9,3.9,2.6299889889E10,1.7
경상남도,밀양시,1.584694921E9,3.9,2.9034015251E10,1.8
경상남도,사천시,1.584694921E9,3.9,6.0738495207E10,3.8
경상남도,산청군,1.584694921E9,3.9,1.1667621863E10,0.7
경상남도,양산시,1.584694921E9,3.9,1.64133123477E11,10.4
경상남도,의령군,1.584694921E9,3.9,6.507654686E9,0.4
