기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,1.10013037E8,1.2
고양시 덕양구,3.11964324E8,3.5
고양시 일산동구,2.58442059E8,2.9
고양시 일산서구,1.90946212E8,2.2
과천시,4.273661E7,0.5
광명시,1.65505408E8,1.9
광주시,1.72457557E8,2.0
구리시,1.00614679E8,1.1
군포시,9.397048E7,1.1
김포시,3.2320853E8,3.7
남양주시,3.25215941E8,3.7
동두천시,2.8938217E7,0.3
부천시,2.57944062E8,2.9
성남시 분당구,6.13483621E8,6.9
성남시 수정구,1.39219048E8,1.6
성남시 중원구,7.7077209E7,0.9
수원시 권선구,1.97583856E8,2.2
수원시 영통구,3.14855424E8,3.6
수원시 장안구,8.6748897E7,1.0
수원시 팔달구,3.7406948E8,4.2
시흥시,2.89547018E8,3.3
안산시 단원구,2.68961553E8,3.0
안산시 상록구,1.11535963E8,1.3
안성시,1.75926816E8,2.0
안양시 동안구,3.1016413E8,3.5
안양시 만안구,8.820384E7,1.0
양주시,1.10155705E8,1.2
양평군,8.4411612E7,1.0
여주시,3.05325937E8,3.5
연천군,2.0539354E7,0.2
오산시,1.27827939E8,1.4
용인시 기흥구,2.9341546E8,3.3
용인시 수지구,2.16462817E8,2.4
용인시 처인구,2.3265964E8,2.6
의왕시,1.4131761E8,1.6
의정부시,1.8382819E8,2.1
이천시,2.31224286E8,2.6
파주시,3.34215523E8,3.8
평택시,2.27280288E8,2.6
포천시,1.62191304E8,1.8
하남시,3.58579247E8,4.1
화성시,3.78638982E8,4.3
