기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
남구,5.4287785E7,3.8
달서구,1.94829955E8,13.5
달성군,7.1368919E7,5.0
동구,4.37009113E8,30.4
북구,1.52702349E8,10.6
서구,7.7885195E7,5.4
수성구,1.70869471E8,11.9
중구,2.80025297E8,19.5
