기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.42106001E8,11.4
경주시,2.15318386E8,17.3
고령군,8951786.0,0.7
구미시,1.51176922E8,12.2
군위군,1.6631187E7,1.3
김천시,4.8499874E7,3.9
문경시,3.3786241E7,2.7
봉화군,4658847.0,0.4
상주시,2.8846163E7,2.3
성주군,1.0186149E7,0.8
안동시,7.1283093E7,5.7
영덕군,2.6932175E7,2.2
영양군,1284350.0,0.1
영주시,3.5288972E7,2.8
영천시,3.6155407E7,2.9
예천군,1.380198E7,1.1
울릉군,6258505.0,0.5
울진군,2.3440638E7,1.9
의성군,1.3973295E7,1.1
청도군,2.8063504E7,2.3
청송군,9566720.0,0.8
칠곡군,6.2299967E7,5.0
포항시 남구,1.14628686E8,9.2
포항시 북구,1.4106344E8,11.3
