기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.09678232E8,9.8
경주시,2.13325945E8,19.1
고령군,1.5300272E7,1.4
구미시,1.15415914E8,10.3
군위군,1.9242354E7,1.7
김천시,4.2587846E7,3.8
문경시,2.935177E7,2.6
봉화군,4934610.0,0.4
상주시,2.7133744E7,2.4
성주군,1.0135935E7,0.9
안동시,5.9196712E7,5.3
영덕군,2.9363954E7,2.6
영양군,1396146.0,0.1
영주시,2.7656379E7,2.5
영천시,3.6235358E7,3.2
예천군,1.3529891E7,1.2
울릉군,7016369.0,0.6
울진군,2.1224217E7,1.9
의성군,1.6498837E7,1.5
청도군,3.3163681E7,3.0
청송군,9919232.0,0.9
칠곡군,5.6887125E7,5.1
포항시 남구,9.3539653E7,8.4
포항시 북구,1.24320948E8,11.1
