기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.05922419E8,10.3
경주시,1.76099403E8,17.1
고령군,1.2011474E7,1.2
구미시,1.17403448E8,11.4
군위군,1.6453843E7,1.6
김천시,4.2675505E7,4.1
문경시,2.74776E7,2.7
봉화군,4306543.0,0.4
상주시,2.4341946E7,2.4
성주군,9465467.0,0.9
안동시,5.4443489E7,5.3
영덕군,2.6215318E7,2.5
영양군,1288492.0,0.1
영주시,2.7746094E7,2.7
영천시,3.2782645E7,3.2
예천군,1.2122607E7,1.2
울릉군,4328943.0,0.4
울진군,2.0178799E7,2.0
의성군,1.3963177E7,1.4
청도군,2.4078915E7,2.3
청송군,7977926.0,0.8
칠곡군,5.4676055E7,5.3
포항시 남구,9.4491866E7,9.2
포항시 북구,1.20551727E8,11.7
