기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
경산시,1.44236008E8,11.5
경주시,2.10055904E8,16.8
고령군,8544596.0,0.7
구미시,1.59448495E8,12.7
군위군,1.6072806E7,1.3
김천시,4.9240937E7,3.9
문경시,3.3416266E7,2.7
봉화군,4404164.0,0.4
상주시,2.873273E7,2.3
성주군,1.0014191E7,0.8
안동시,7.1684904E7,5.7
영덕군,2.6628817E7,2.1
영양군,1291984.0,0.1
영주시,3.5785527E7,2.9
영천시,3.6390638E7,2.9
예천군,1.3233768E7,1.1
울릉군,5544803.0,0.4
울진군,2.4297276E7,1.9
의성군,1.2769722E7,1.0
청도군,2.7301024E7,2.2
청송군,9233947.0,0.7
칠곡군,6.3288915E7,5.1
포항시 남구,1.17237332E8,9.4
포항시 북구,1.42121166E8,11.4
