기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,8.62146844E8,15.3
강동구,1.01248178E8,1.8
강북구,6.7134623E7,1.2
강서구,3.69606269E8,6.6
관악구,1.1186486E8,2.0
광진구,1.30321383E8,2.3
구로구,1.21400814E8,2.2
금천구,1.35546645E8,2.4
노원구,1.21914755E8,2.2
도봉구,4.9902862E7,0.9
동대문구,9.2946491E7,1.7
동작구,8.4788013E7,1.5
마포구,2.72058561E8,4.8
서대문구,1.02741002E8,1.8
서초구,5.62207012E8,10.0
성동구,1.58296718E8,2.8
성북구,7.9814753E7,1.4
송파구,3.99437583E8,7.1
양천구,9.1439755E7,1.6
영등포구,3.734329E8,6.6
용산구,2.33373411E8,4.1
은평구,7.852715E7,1.4
종로구,2.6039605E8,4.6
중구,7.03755793E8,12.5
중랑구,6.0483252E7,1.1
