광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,1.0958520024E10,1.2802124906E10,-14.4
부산광역시,2.843711806E9,3.305717647E9,-14.0
대구광역시,1.498921223E9,1.799284141E9,-16.7
인천광역시,1.797619724E9,2.252153346E9,-20.2
광주광역시,8.98548322E8,9.9481392E8,-9.7
대전광역시,1.131025029E9,1.360814367E9,-16.9
울산광역시,5.34625971E8,5.98864557E8,-10.7
세종특별자치시,9.2852286E7,9.470438E7,-2.0
경기도,8.499029342E9,8.992281127E9,-5.5
강원도,1.15744832E9,1.212168877E9,-4.5
충청북도,9.46636824E8,1.010432147E9,-6.3
충청남도,1.057060141E9,1.167146537E9,-9.4
전라북도,7.89336968E8,8.82163465E8,-10.5
전라남도,8.3788515E8,8.48325702E8,-1.2
경상북도,1.08941339E9,1.244202292E9,-12.4
경상남도,1.424845144E9,1.569873884E9,-9.2
제주특별자치도,8.22292515E8,9.29930893E8,-11.6
