기준년월,광역지자체,대분류,지출액,전년도 지출액
201908,전국,총소비,3.558132668E9,3.51422872E9
201908,전국,콘도,3.1202116E7,3.1872146E7
201908,전국,호텔,5.2849243E7,4.948618E7
201908,전국,캠핑장/펜션,749680.0,695575.0
201908,전국,기타숙박,8.3692795E7,8.5038274E7
201908,전국,여행업,1.5122387E7,1.721853E7
201908,전국,육상운송,8.7338626E7,8.3180763E7
201908,전국,수상운송,7605938.0,7381136.0
201908,전국,항공운송,5.1358434E7,5.662114E7
201908,전국,렌터카,7666247.0,6401878.0
201908,전국,면세점,5.617206E7,6.2222052E7
201908,전국,관광기념품,6556593.0,5814313.0
201908,전국,레저용품쇼핑,1.49232409E8,1.49546718E8
201908,전국,대형쇼핑몰,7.81488205E8,7.89281154E8
201908,전국,카지노,0.0,0.0
201908,전국,관광유원시설,1.2034404E7,1.1990068E7
201908,전국,골프장,1.31773542E8,1.07043464E8
201908,전국,스키장,1238475.0,1168907.0
201908,전국,기타레저,6.7696825E7,6.2937065E7
201908,전국,문화서비스,6.6243821E7,6.9185909E7
201908,전국,식음료,1.948110868E9,1.917143449E9
201909,전국,총소비,3.23615293E9,3.511570394E9
201909,전국,콘도,1.3234403E7,1.479434E7
201909,전국,호텔,3.8567503E7,3.9287004E7
201909,전국,캠핑장/펜션,315883.0,326799.0
201909,전국,기타숙박,6.3277714E7,6.9666233E7
201909,전국,여행업,1.4845298E7,1.8270299E7
201909,전국,육상운송,7.2131264E7,7.8391081E7
201909,전국,수상운송,4833192.0,6496881.0
201909,전국,항공운송,4.7083938E7,5.2685403E7
201909,전국,렌터카,5494911.0,4587545.0
201909,전국,면세점,5.2618969E7,5.6394549E7
201909,전국,관광기념품,5147093.0,5642905.0
201909,전국,레저용품쇼핑,1.76228034E8,2.07604768E8
201909,전국,대형쇼핑몰,8.28130017E8,9.21449706E8
201909,전국,관광유원시설,8512051.0,8866692.0
201909,전국,골프장,1.3038806E8,1.37300151E8
201909,전국,스키장,529926.0,652141.0
201909,전국,기타레저,5.6886496E7,5.3281413E7
201909,전국,문화서비스,4.0898898E7,4.3582742E7
201909,전국,식음료,1.67702928E9,1.79228974E9
201910,전국,총소비,3.483358129E9,3.531826409E9
201910,전국,콘도,1.471651E7,1.3997445E7
201910,전국,호텔,4.2511332E7,3.9829839E7
201910,전국,캠핑장/펜션,381746.0,338328.0
201910,전국,기타숙박,7.0765922E7,7.1487575E7
201910,전국,여행업,1.3718261E7,1.6640044E7
