기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
괴산군,1.190079E7,1.2
단양군,2.5498838E7,2.5
보은군,1.3811474E7,1.4
영동군,9758138.0,1.0
옥천군,1.6081757E7,1.6
음성군,6.4577732E7,6.4
제천시,6.4565483E7,6.4
증평군,1.4738949E7,1.5
진천군,4.6076796E7,4.6
청주시 상당구,1.30058846E8,12.9
청주시 서원구,1.31519459E8,13.0
청주시 청원구,1.30629442E8,12.9
청주시 흥덕구,2.30740007E8,22.8
충주시,1.20474439E8,11.9
