기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
가평군,9.490439E7,1.1
고양시 덕양구,3.00368007E8,3.3
고양시 일산동구,3.22445706E8,3.6
고양시 일산서구,2.20438967E8,2.5
과천시,4.1812093E7,0.5
광명시,1.86317566E8,2.1
광주시,1.69684771E8,1.9
구리시,1.51763971E8,1.7
군포시,1.17604458E8,1.3
김포시,2.99768728E8,3.3
남양주시,2.38757025E8,2.7
동두천시,3.6254031E7,0.4
부천시,2.83980971E8,3.2
성남시 분당구,6.42006028E8,7.1
성남시 수정구,1.59021891E8,1.8
성남시 중원구,1.11857564E8,1.2
수원시 권선구,2.28637689E8,2.5
수원시 영통구,2.53873111E8,2.8
수원시 장안구,1.22240927E8,1.4
수원시 팔달구,5.01872707E8,5.6
시흥시,2.91359799E8,3.2
안산시 단원구,3.20188105E8,3.6
안산시 상록구,1.571712E8,1.7
안성시,1.32009533E8,1.5
안양시 동안구,3.29753352E8,3.7
안양시 만안구,1.18457882E8,1.3
양주시,9.4570083E7,1.1
양평군,7.82663E7,0.9
여주시,2.54227916E8,2.8
연천군,1.9366451E7,0.2
오산시,1.25702605E8,1.4
용인시 기흥구,3.021213E8,3.4
용인시 수지구,2.11737537E8,2.4
용인시 처인구,2.24372487E8,2.5
의왕시,8.0857219E7,0.9
의정부시,2.26846646E8,2.5
이천시,2.34657015E8,2.6
파주시,3.03628655E8,3.4
평택시,2.2885912E8,2.5
포천시,1.30986561E8,1.5
하남시,2.65311103E8,3.0
화성시,3.78219657E8,4.2
