기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
거제시,9.4753398E7,6.7
거창군,1.2024747E7,0.8
고성군,2.0704169E7,1.5
김해시,1.99309045E8,14.0
남해군,2.6917055E7,1.9
밀양시,3.0371613E7,2.1
사천시,6.0615015E7,4.3
산청군,1.1202386E7,0.8
양산시,1.48936853E8,10.5
의령군,6602891.0,0.5
진주시,1.11315549E8,7.8
창녕군,2.5017397E7,1.8
창원시 마산합포구,1.10286004E8,7.7
창원시 마산회원구,7.7732397E7,5.5
창원시 성산구,1.83415073E8,12.9
창원시 의창구,1.04309797E8,7.3
창원시 진해구,7.5236078E7,5.3
통영시,6.7491291E7,4.7
하동군,1.1736821E7,0.8
함안군,2.2667184E7,1.6
함양군,1.005102E7,0.7
합천군,1.4149361E7,1.0
