기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
고창군,2.2088345E7,2.5
군산시,1.43848452E8,16.6
김제시,2.409314E7,2.8
남원시,3.4165896E7,3.9
무주군,1.7770759E7,2.0
부안군,2.5517404E7,2.9
순창군,7196044.0,0.8
완주군,4.552477E7,5.2
익산시,8.5223748E7,9.8
임실군,1.2086984E7,1.4
장수군,4723487.0,0.5
전주시 덕진구,1.35852242E8,15.6
전주시 완산구,2.70968E8,31.2
정읍시,3.2159114E7,3.7
진안군,7861624.0,0.9
