기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
괴산군,1.1847658E7,1.2
단양군,2.4900701E7,2.5
보은군,1.2413047E7,1.2
영동군,9641052.0,1.0
옥천군,1.5726778E7,1.6
음성군,6.1365023E7,6.1
제천시,6.5763618E7,6.5
증평군,1.4357281E7,1.4
진천군,4.544172E7,4.5
청주시 상당구,1.31001331E8,12.9
청주시 서원구,1.33142825E8,13.2
청주시 청원구,1.29487095E8,12.8
청주시 흥덕구,2.38207842E8,23.5
충주시,1.18916925E8,11.7
