기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
강남구,1.636703296E9,15.3
강동구,1.97811372E8,1.8
강북구,1.31701399E8,1.2
강서구,6.52609501E8,6.1
관악구,2.16820124E8,2.0
광진구,2.51834981E8,2.3
구로구,2.36530711E8,2.2
금천구,2.66122371E8,2.5
노원구,2.36893043E8,2.2
도봉구,9.8551909E7,0.9
동대문구,1.79924577E8,1.7
동작구,1.65665022E8,1.5
마포구,5.26094824E8,4.9
서대문구,1.99307057E8,1.9
서초구,1.066043661E9,9.9
성동구,3.0740705E8,2.9
성북구,1.53555351E8,1.4
송파구,7.48749315E8,7.0
양천구,1.81191104E8,1.7
영등포구,7.13199577E8,6.7
용산구,4.46845864E8,4.2
은평구,1.54355941E8,1.4
종로구,5.00165651E8,4.7
중구,1.332974487E9,12.4
중랑구,1.17968427E8,1.1
